	Gene	Chrom	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene
12079	LOC108350447	chr3	61	9.30E-07	112786084	1	6.03154367	4.861444388	NA
4676	Ganc	chr3	157	9.34E-07	112201843	1	6.029654984	4.861444388	GANC
12078	LOC108350445	chr3	70	9.34E-07	112201843	1	6.029654984	4.861444388	NA
11769	LOC108349711	chr1	128	9.83E-07	280667223	1	6.007291878	4.861444388	NA
22812	Ubr2	chr9	52	1.00E-06	15993437	1	6.000131177	4.861444388	UBR2
3757	Emx2	chr1	84	1.02E-06	280624490	1	5.993439835	4.861444388	EMX2
16920	Olr271	chr1	59	1.03E-06	172815916	1	5.985777774	4.861444388	NA
16921	Olr272	chr1	56	1.03E-06	172815916	1	5.985777774	4.861444388	NA
7172	LOC102546724	chr18	49	1.09E-06	25258385	1	5.962135444	4.861444388	NA
1478	Cacng4	chr10	156	1.13E-06	95950336	1	5.948457753	4.861444388	CACNG4
14138	Lcmt1	chr1	104	1.14E-06	193396651	1	5.943167537	4.861444388	LCMT1
16854	Olr1875	chr1	77	1.14E-06	172877036	1	5.941813207	4.861444388	NA
16427	Olfml1	chr1	118	1.14E-06	171794785	1	5.941573976	4.861444388	OLFML1
779	Arhgap17	chr1	101	1.17E-06	193235814	1	5.929969526	4.861444388	ARHGAP17
1544	Capn3	chr3	137	1.18E-06	112223305	1	5.928331512	4.861444388	CAPN3
13907	LOC687119	chr1	61	1.25E-06	173051067	1	5.903156005	4.861444388	NA
5235	Gypc	chr18	98	1.31E-06	25302488	1	5.882861334	4.861444388	GYPC
1253	Bin1	chr18	48	1.41E-06	25230320	1	5.85196526	4.861444388	BIN1
10047	LOC103691223	chr1	89	1.42E-06	194068003	1	5.848427914	4.861444388	NA
40	Abca8a	chr10	249	1.43E-06	98332790	1	5.84460019	4.861444388	NA
16909	Olr255	chr1	4	1.43E-06	172494822	1	5.843747748	4.861444388	NA
17973	Pla2g4d	chr3	63	1.45E-06	112044752	1	5.83838946	4.861444388	PLA2G4D
11601	LOC108349440	chr1	25	1.47E-06	171558882	1	5.832570413	4.861444388	NA
6649	LOC100363500	chr18	10	1.49E-06	25369166	1	5.826965324	4.861444388	NA
13661	LOC498836	chr18	6	1.49E-06	25369166	1	5.826965324	4.861444388	NA
23559	Zfp106	chr3	59	1.54E-06	112317168	1	5.811119305	4.861444388	ZNF106
6984	LOC100912217	chr1	44	1.58E-06	173018432	1	5.800675492	4.861444388	NA
20566	Slc17a6	chr1	272	1.59E-06	107016203	1	5.799086605	4.861444388	SLC17A6
39	Abca8	chr10	336	1.70E-06	98285760	1	5.769336539	4.861444388	ABCA8
16892	Olr227	chr1	55	1.71E-06	171103318	1	5.766460726	4.861444388	OR10A5
22202	Tmem87a	chr3	103	1.74E-06	112139055	1	5.758226968	4.861444388	TMEM87A
8242	LOC102550756	chr1	211	1.81E-06	107154500	1	5.741199947	4.861444388	NA
7011	LOC100912427	chr1	52	1.82E-06	186626013	1	5.739888048	4.861444388	NA
2865	Cyb5r2	chr1	54	1.85E-06	171975637	1	5.733817711	4.861444388	CYB5R2
11575	LOC108349098	chr1	40	1.93E-06	194399515	1	5.714067065	4.861444388	NA
17974	Pla2g4e	chr3	263	2.10E-06	112025481	1	5.67829803	4.861444388	PLA2G4E
5348	Helz	chr10	220	2.22E-06	95764616	1	5.652945288	4.861444388	HELZ
4689	Gas2	chr1	224	2.24E-06	107304841	1	5.650388379	4.861444388	GAS2
16887	Olr220	chr1	38	2.30E-06	170966565	1	5.63736487	4.861444388	NA
5564	Hsp90ab1	chr9	13	2.32E-06	17811368	1	5.634220088	4.861444388	HSP90AB1
11712	LOC108349632	chr1	52	2.35E-06	193837254	1	5.628319014	4.861444388	NA
2442	Cnpy3	chr9	65	2.38E-06	16553392	1	5.623550795	4.861444388	CNPY3
16923	Olr278	chr1	13	2.38E-06	172951251	1	5.623324517	4.861444388	OR5P2
6268	Klhdc3	chr9	26	2.41E-06	16628162	1	5.617858634	4.861444388	KLHDC3
13778	LOC680835	chr9	42	2.41E-06	16628162	1	5.617858634	4.861444388	NA
19934	Rrp36	chr9	18	2.41E-06	16628162	1	5.617858634	4.861444388	RRP36
23181	Vps18	chr3	79	2.52E-06	111108968	1	5.598058651	4.861444388	VPS18
1691	Ccdc179	chr1	48	2.88E-06	107386515	1	5.540978631	4.861444388	CCDC179
14768	Mea1	chr9	24	2.91E-06	16619050	1	5.53598465	4.861444388	MEA1
18305	Ppp2r5d	chr9	74	2.91E-06	16619050	1	5.53598465	4.861444388	PPP2R5D
10038	LOC103691201	chr1	119	2.93E-06	170784653	1	5.532884917	4.861444388	NA
21470	Svip	chr1	48	3.16E-06	107377447	1	5.500057364	4.861444388	SVIP
16883	Olr215	chr1	73	3.23E-06	170896540	1	5.49022507	4.861444388	NA
16926	Olr282	chr1	9	3.25E-06	173459732	1	5.487905556	4.861444388	OR10A3
16878	Olr209	chr1	25	3.27E-06	170767264	1	5.485888089	4.861444388	NA
18628	Ptk7	chr9	112	3.40E-06	16672807	1	5.468538966	4.861444388	PTK7
23411	Xylt1	chr1	627	3.46E-06	187239370	1	5.460846087	4.861444388	XYLT1
18595	Ptcra	chr9	67	3.48E-06	16534358	1	5.458203663	4.861444388	PTCRA
13797	LOC681367	chr9	48	3.48E-06	16526788	1	5.458161255	4.861444388	C6orf226
21052	Sox6	chr1	433	3.49E-06	186023522	1	5.456616198	4.861444388	SOX6
1939	Cdc5l	chr9	167	3.53E-06	17988085	1	5.452263435	4.861444388	CDC5L
12851	LOC108351893	chr9	67	3.53E-06	17988085	1	5.452263435	4.861444388	NA
16927	Olr283	chr1	5	3.55E-06	173453101	1	5.449967429	4.861444388	NA
1539	Capn11	chr9	88	3.55E-06	17742768	1	5.449308239	4.861444388	CAPN11
15443	Mrpl17	chr1	12	3.58E-06	170659621	1	5.446590345	4.861444388	MRPL17
13928	LOC688542	chr1	11	3.67E-06	282736277	1	5.434992078	4.861444388	NA
6250	Klc4	chr9	79	3.74E-06	16661218	1	5.427695441	4.861444388	KLC4
16882	Olr214	chr1	89	3.78E-06	170860763	1	5.422604721	4.861444388	NA
19646	Rhov	chr3	85	3.85E-06	111093984	1	5.414170559	4.861444388	RHOV
10989	LOC103693990	chr16	30	3.95E-06	72362856	1	5.403772487	4.861444388	NA
15446	Mrpl2	chr9	44	3.98E-06	16646942	1	5.400047097	4.861444388	MRPL2
4208	Fancf	chr1	60	4.01E-06	107227915	1	5.396335003	4.861444388	FANCF
3015	Dchs1	chr1	39	4.13E-06	170596114	1	5.383527637	4.861444388	DCHS1
21560	Taf10	chr1	10	4.13E-06	170596114	1	5.383527637	4.861444388	TAF10
22373	Tpp1	chr1	12	4.13E-06	170596114	1	5.383527637	4.861444388	TPP1
19857	Rpl7l1	chr9	65	4.16E-06	16521954	1	5.380762624	4.861444388	RPL7L1
18460	Prph2	chr9	35	4.21E-06	16385217	1	5.375834488	4.861444388	PRPH2
4890	Gltscr1l	chr9	171	4.21E-06	16396807	1	5.375216846	4.861444388	NA
21670	Tbcc	chr9	27	4.21E-06	16396807	1	5.375216846	4.861444388	TBCC
4948	Gnmt	chr9	47	4.29E-06	16578510	1	5.367202694	4.861444388	GNMT
17767	Pex6	chr9	51	4.29E-06	16578510	1	5.367202694	4.861444388	PEX6
22573	Tslp	chr18	53	4.60E-06	25624710	1	5.337461259	4.861444388	TSLP
16155	Nova1	chr6	430	4.64E-06	66997155	1	5.333060098	4.861444388	NOVA1
4916	Gna13	chr10	49	4.70E-06	97674479	1	5.328095307	4.861444388	GNA13
637	Ano5	chr1	465	4.79E-06	106968231	1	5.319600118	4.861444388	ANO5
13931	LOC688637	chr18	117	5.31E-06	25638457	0	5.275142729	4.861444388	NA
17736	Pecam1	chr10	150	5.32E-06	94917828	0	5.274082653	4.861444388	PECAM1
12926	LOC108352018	chr9	60	5.37E-06	17771484	0	5.27028378	4.861444388	NA
14546	Macrod2	chr3	1566	5.48E-06	136287127	0	5.261315346	4.531716136	MACROD2
3343	Dnhd1	chr1	26	5.49E-06	170576109	0	5.260464046	4.861444388	DNHD1
5810	Ilk	chr1	12	5.49E-06	170576109	0	5.260464046	4.861444388	ILK
19936	Rrp8	chr1	10	5.49E-06	170576109	0	5.260464046	4.861444388	RRP8
19809	Rpap1	chr3	58	5.54E-06	111594382	0	5.256724692	4.861444388	RPAP1
22734	Tyro3	chr3	39	5.54E-06	111594382	0	5.256724692	4.861444388	TYRO3
9910	LOC103690502	chr9	98	5.63E-06	17934251	0	5.249392878	4.861444388	NA
16891	Olr224	chr1	70	5.77E-06	171047997	0	5.238520212	4.861444388	NA
6894	LOC100911376	chr1	3	5.77E-06	171049070	0	5.238520212	4.861444388	OR6A2
14930	Milr1	chr10	44	5.83E-06	94951558	0	5.234591504	4.861444388	MILR1
20668	Slc29a1	chr9	66	5.90E-06	17808733	0	5.229267988	4.861444388	SLC29A1
21190	Sptbn5	chr3	154	6.30E-06	111854944	0	5.200620848	4.861444388	SPTBN5
23553	Zfc3h1	chr7	141	6.31E-06	58380085	0	5.199844707	4.861444388	ZFC3H1
16877	Olr208	chr1	29	6.41E-06	170734171	0	5.192839899	4.861444388	NA
1275	Bmf	chr3	72	6.44E-06	110293625	0	5.190825598	4.861444388	BMF
16890	Olr223	chr1	25	6.58E-06	171038586	0	5.181855297	4.861444388	NA
1389	Bub1b	chr3	104	6.60E-06	110398345	0	5.180402768	4.861444388	BUB1B
6017	Jmjd7	chr3	43	6.67E-06	111825375	0	5.175579311	4.861444388	JMJD7
14649	Mapkbp1	chr3	90	6.67E-06	111825375	0	5.175579311	4.861444388	MAPKBP1
17971	Pla2g4b	chr3	55	6.67E-06	111825375	0	5.175579311	4.861444388	PLA2G4B
6203	Kif16b	chr3	862	7.11E-06	136881379	0	5.147944749	4.771792682	KIF16B
13666	LOC499229	chr1	6	7.16E-06	173226190	0	5.145112454	4.861444388	NA
21859	Thap2	chr7	15	7.21E-06	58367531	0	5.141847943	4.861444388	THAP2
16881	Olr213	chr1	86	7.43E-06	170836839	0	5.128802565	4.861444388	NA
22436	Trerf1	chr9	527	7.47E-06	15814280	0	5.12639287	4.861444388	TRERF1
16889	Olr222	chr1	18	7.52E-06	171014315	0	5.12353332	4.861444388	NA
769	Arfip2	chr1	11	8.21E-06	170477009	0	5.085564281	4.861444388	ARFIP2
21914	Timm10b	chr1	8	8.21E-06	170477009	0	5.085564281	4.861444388	TIMM10B
1148	Bahd1	chr3	89	8.44E-06	110708304	0	5.073801656	4.861444388	BAHD1
3647	Ehd4	chr3	266	8.45E-06	111940390	0	5.073109371	4.861444388	EHD4
16888	Olr221	chr1	21	8.59E-06	170982703	0	5.06614033	4.861444388	NA
16879	Olr210	chr1	41	8.75E-06	170798434	0	5.057844064	4.861444388	NA
16880	Olr211	chr1	38	8.75E-06	170798434	0	5.057844064	4.861444388	NA
22366	Tph2	chr7	121	8.97E-06	58121499	0	5.04720562	4.861444388	TPH2
16097	Nme5	chr18	22	9.25E-06	27348077	0	5.033824934	4.861444388	NME5
13058	LOC108352227	chr10	27	9.49E-06	97256884	0	5.02295946	4.861444388	NA
23359	Wnt8a	chr18	31	1.02E-05	27338500	0	4.991898275	4.861444388	WNT8A
14889	Mga	chr3	176	1.02E-05	111660822	0	4.99178746	4.861444388	MGA
3055	Ddit4l	chr2	132	1.02E-05	242873039	0	4.990226266	4.861444388	DDIT4L
21519	Syt14	chr13	193	1.05E-05	111732938	0	4.980007693	4.808520752	SYT14
18268	Ppp1r14d	chr3	120	1.05E-05	111041504	0	4.97913344	4.861444388	PPP1R14D
21146	Spint1	chr3	72	1.05E-05	111041504	0	4.97913344	4.861444388	SPINT1
16886	Olr219	chr1	71	1.05E-05	170923089	0	4.97756338	4.861444388	NA
16884	Olr217	chr1	40	1.05E-05	170923089	0	4.97756338	4.861444388	OR2AG1
16885	Olr218	chr1	62	1.05E-05	170923089	0	4.97756338	4.861444388	OR2AG2
16237	Nrcam	chr6	612	1.07E-05	64332545	0	4.968757205	4.362321105	NRCAM
18307	Ppp3ca	chr2	489	1.09E-05	241929622	0	4.963570734	4.650325442	PPP3CA
17637	Pcsk2	chr3	427	1.12E-05	137614989	0	4.949523573	4.609206651	PCSK2
17475	Pak6	chr3	80	1.15E-05	110455267	0	4.940379791	4.861444388	BUB1B-PAK6
8131	LOC102550363	chr9	82	1.17E-05	17651483	0	4.930095214	4.861444388	NA
1100	Axin2	chr10	38	1.19E-05	97248324	0	4.924829103	4.861444388	AXIN2
1329	Brd8	chr18	7	1.21E-05	27377537	0	4.917182328	4.834028309	BRD8
17387	Otogl	chr7	60	1.23E-05	51826482	0	4.911428063	4.709175945	OTOGL
441	Akap6	chr6	962	1.24E-05	73998815	0	4.906242217	4.431006885	AKAP6
2232	Chst14	chr3	36	1.28E-05	110739102	0	4.894210594	4.857526609	CHST14
1715	Ccdc40	chr10	482	1.30E-05	108068671	0	4.887703403	4.513609443	CCDC40
1733	Ccdc68	chr18	135	1.31E-05	68468089	0	4.882129063	4.783748068	CCDC68
22461	Trim3	chr1	35	1.34E-05	170462751	0	4.871578112	4.814190581	TRIM3
3317	Dnajc17	chr3	85	1.36E-05	111017728	0	4.866764565	4.798485133	DNAJC17
23793	Zfyve19	chr3	86	1.36E-05	111017728	0	4.866764565	4.824129139	ZFYVE19
10015	LOC103691117	chr1	61	1.42E-05	109640770	0	4.84660897	4.805083917	NA
3214	Diexf	chr13	80	1.43E-05	111826691	0	4.84594139	4.789635117	NA
15440	Mrpl14	chr9	59	1.47E-05	17691783	0	4.83342189	4.787790664	MRPL14
22185	Tmem63b	chr9	90	1.47E-05	17691783	0	4.83342189	4.771915134	TMEM63B
12788	LOC108351769	chr8	61	1.50E-05	101701716	0	4.823463094	4.753943779	NA
5994	Ivd	chr3	82	1.51E-05	110682517	0	4.822244244	4.76711059	IVD
21774	Tenm4	chr1	1760	1.53E-05	161234195	0	4.815754447	4.077126675	TENM4
9224	LOC102554505	chr3	76	1.55E-05	136492861	0	4.810046723	4.720450329	NA
15288	Mllt3	chr5	46	1.57E-05	106121253	0	4.803749181	4.66967761	MLLT3
12607	LOC108351458	chr7	92	1.61E-05	59654190	0	4.791937742	4.733709901	NA
4043	Fam13b	chr18	102	1.61E-05	27235768	0	4.791873191	4.675816577	FAM13B
13015	LOC108352152	chr10	28	1.71E-05	96958348	0	4.766782989	4.725328213	NA
1234	Best3	chr7	188	1.74E-05	60008103	0	4.75869763	4.637660398	BEST3
22811	Ubr1	chr3	145	1.77E-05	112790800	0	4.752007105	4.60747433	UBR1
3463	Dtd1	chr3	313	1.83E-05	138849437	0	4.738523011	4.542296628	DTD1
8257	LOC102550813	chr3	52	1.83E-05	138849437	0	4.738523011	4.700860171	NA
17893	Pik3c2a	chr1	101	1.91E-05	185244116	0	4.718153377	4.567686228	PIK3C2A
18669	Ptprr	chr7	640	1.97E-05	59086228	0	4.704927948	4.382969336	PTPRR
857	Arl6ip1	chr1	28	1.98E-05	187782138	0	4.703102371	4.658930895	ARL6IP1
20895	Smg1	chr1	93	1.98E-05	187782138	0	4.703102371	4.56682712	SMG1
3664	Eif2ak4	chr3	291	2.02E-05	110223822	0	4.69541685	4.574700883	EIF2AK4
19881	Rps15a	chr1	29	2.03E-05	187756542	0	4.691518825	4.650003812	RPS15A
7047	LOC100912849	chr9	65	2.05E-05	15607737	0	4.687706255	4.628876041	AL096814.1
5212	Guca1a	chr9	79	2.05E-05	15607737	0	4.687706255	4.642820967	GUCA1A
20977	Snrpb2	chr3	65	2.06E-05	137131800	0	4.687156475	4.643007085	SNRPB2
21221	Srp14	chr3	76	2.16E-05	110238997	0	4.665112171	4.626787725	SRP14
15710	Myo5c	chr8	285	2.20E-05	82185375	0	4.656721419	4.544985824	MYO5C
17391	Otor	chr3	23	2.22E-05	137152271	0	4.653889672	4.61600295	OTOR
19436	Rbbp6	chr1	104	2.23E-05	192972878	0	4.652143295	4.585502317	RBBP6
6861	LOC100911093	chr1	13	2.23E-05	185175568	0	4.651463445	4.614550559	NA
19530	Reep5	chr18	59	2.26E-05	27123629	0	4.646774498	4.58080115	REEP5
21222	Srp19	chr18	34	2.26E-05	27123629	0	4.646774498	4.605890973	SRP19
21990	Tmc7	chr1	232	2.26E-05	188226563	0	4.646737914	4.5595992	TMC7
7281	LOC102547181	chr7	54	2.30E-05	59785538	0	4.63919271	4.581769037	NA
7793	LOC102549044	chr1	54	2.31E-05	184817539	0	4.635764287	4.585672492	NA
10044	LOC103691215	chr1	35	2.35E-05	186880453	0	4.629573889	4.593555526	NA
699	Apc	chr18	19	2.39E-05	27087828	0	4.622460633	4.492854651	APC
11705	LOC108349624	chr1	9	2.41E-05	185133944	0	4.618868667	4.578685902	NA
16308	Nucb2	chr1	15	2.41E-05	185133944	0	4.618868667	4.547600464	NUCB2
14060	LOC691418	chr3	27	2.49E-05	110981596	0	4.603248108	4.564947756	C15orf62
4726	Gchfr	chr3	31	2.49E-05	110981596	0	4.603248108	4.564579305	GCHFR
3230	Disp2	chr3	54	2.50E-05	110589286	0	4.60255363	4.552347385	DISP2
23195	Vps39	chr3	54	2.53E-05	112095982	0	4.596700991	4.523837504	VPS39
5213	Guca1b	chr9	69	2.54E-05	15636631	0	4.594395838	4.551811614	GUCA1B
15477	Mrps10	chr9	58	2.54E-05	15636631	0	4.594395838	4.545995706	MRPS10
19878	Rps13	chr1	30	2.59E-05	185329618	0	4.586274534	4.549216074	RPS13
15662	Myf5	chr7	11	2.59E-05	49739615	0	4.58607356	4.548000103	MYF5
15663	Myf6	chr7	15	2.59E-05	49739615	0	4.58607356	4.549600406	MYF6
14205	Lgr5	chr7	202	2.61E-05	58450873	0	4.583108307	4.407243121	LGR5
22592	Tspan8	chr7	153	2.63E-05	58846650	0	4.580642437	4.513135047	TSPAN8
8419	LOC102551482	chr7	68	2.64E-05	58883108	0	4.577727051	4.533478271	NA
18021	Plekha7	chr1	71	2.65E-05	185490895	0	4.576608293	4.475341934	PLEKHA7
5384	Hhat	chr13	714	2.67E-05	111344794	0	4.573594479	4.284222216	HHAT
6042	Kat14	chr3	99	2.68E-05	138536339	0	4.572103485	4.496786334	KAT14
