chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	6161846	6240194	-	26038	CHD5	73	6.63121861E-2	DAVIES_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	35	9.83434136E-2	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	25	1.14497479E-1	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	24	5.35411683E-2	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	22	2.46136392E-2	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	28	6.49092724E-3	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	57	7.4880311E-3	DAVIES_SUCCESS
chr1	6472497	6484730	-	54626	HES2	21	1.50986045E-2	DAVIES_SUCCESS
chr1	6484847	6521004	+	83715	ESPN	35	1.71430763E-2	DAVIES_SUCCESS
chr1	6489893	6489956	-	100422975	MIR4252	20	1.21893563E-2	DAVIES_SUCCESS
chr1	6521213	6526255	-	8718	TNFRSF25	26	1.37505072E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	62	9.32419253E-10	DAVIES_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	68	2.38979281E-10	DAVIES_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	66	8.02915512E-11	DAVIES_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	50	2.15560902E-11	DAVIES_SUCCESS
chr1	6650778	6662929	-	9903	KLHL21	46	4.93480812E-11	DAVIES_SUCCESS
chr1	6673755	6684093	+	148479	PHF13	51	1.12232391E-6	DAVIES_SUCCESS
chr1	6684924	6695646	+	90326	THAP3	53	7.44161089E-6	DAVIES_SUCCESS
chr1	6694227	6761966	-	55735	DNAJC11	82	1.96787746E-5	DAVIES_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	931	3.05194421E-8	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	76	1.91269223E-12	DAVIES_SUCCESS
chr1	7844379	7905237	+	8863	PER3	102	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	7903142	7973294	-	10911	UTS2	84	2.07278639E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	40	1.10578213E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	34	1.24233956E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	8071778	8086393	-	54206	ERRFI1	44	9.19264664E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	8384389	8404227	+	50651	SLC45A1	62	7.1784803E-6	DAVIES_SUCCESS
chr1	8412463	8877699	-	473	RERE	299	1.53510982E-10	DAVIES_SUCCESS
chr1	8921058	8939151	-	2023	ENO1	65	3.66722242E-6	DAVIES_SUCCESS
chr1	8938893	8939943	+	100505975	ENO1-AS1	58	3.03220018E-4	DAVIES_SUCCESS
chr1	9005892	9035148	+	765	CA6	102	1.1825075E-1	DAVIES_SUCCESS
chr1	9063358	9086404	-	155184	SLC2A7	77	2.46394197E-1	DAVIES_SUCCESS
chr1	9097004	9148510	-	6518	SLC2A5	103	5.5018226E-2	DAVIES_SUCCESS
chr1	9164475	9189229	-	80045	GPR157	83	2.2581419E-2	DAVIES_SUCCESS
chr1	9211726	9211836	-	407040	MIR34A	47	1.01831199E-7	DAVIES_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	64	1.17905685E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	93	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	9599527	9642831	+	84275	SLC25A33	32	2.19523519E-5	DAVIES_SUCCESS
chr1	9648931	9674935	+	199953	TMEM201	33	4.12208408E-5	DAVIES_SUCCESS
chr1	9711789	9789172	+	5293	PIK3CD	45	5.82503399E-6	DAVIES_SUCCESS
chr1	9712667	9714644	-	644997	C1orf200	31	8.23811931E-6	DAVIES_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	53	4.10272247E-3	DAVIES_SUCCESS
chr1	9908333	9970316	-	56998	CTNNBIP1	45	1.83102163E-3	DAVIES_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	23	1.64417094E-4	DAVIES_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	27	7.2839733E-5	DAVIES_SUCCESS
chr1	10057254	10076078	+	116362	RBP7	18	1.81086858E-4	DAVIES_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	54	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	10270763	10441661	+	23095	KIF1B	136	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	10459084	10480201	+	5226	PGD	53	2.5313085E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	56	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	10509775	10512060	+	1325	CORT	45	2.34389752E-9	DAVIES_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	70	1.82237584E-8	DAVIES_SUCCESS
chr1	10535002	10690815	+	5195	PEX14	168	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	10696665	10856733	-	54897	CASZ1	113	5.19404459E-4	DAVIES_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	92	1.39777079E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	11072678	11085549	+	23435	TARDBP	58	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11086579	11107296	-	10747	MASP2	51	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11114648	11120091	-	6723	SRM	37	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11126675	11159938	-	5394	EXOSC10	41	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11166587	11322608	-	2475	MTOR	57	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11203954	11209595	+	100873935	MTOR-AS1	16	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11249345	11256038	+	10218	ANGPTL7	28	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	11333254	11348491	+	29914	UBIAD1	21	7.93809463E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	11539294	11597640	+	57540	PTCHD2	104	1.69755828E-1	DAVIES_SUCCESS
chr1	11708417	11714888	-	26232	FBXO2	45	4.23831202E-4	DAVIES_SUCCESS
chr1	11714431	11723384	+	93611	FBXO44	47	6.17900851E-4	DAVIES_SUCCESS
chr1	11724149	11734409	+	26270	FBXO6	52	1.09600849E-3	DAVIES_SUCCESS
chr1	11734536	11751678	-	10459	MAD2L2	52	5.28393225E-3	DAVIES_SUCCESS
chr1	11751780	11780336	+	374946	DRAXIN	64	1.04186699E-1	DAVIES_SUCCESS
chr1	11796141	11810828	+	57085	AGTRAP	86	4.11981385E-2	DAVIES_SUCCESS
chr1	11845786	11866160	-	4524	MTHFR	130	8.56925063E-2	DAVIES_SUCCESS
chr1	11866152	11903201	+	1185	CLCN6	143	1.33142244E-1	DAVIES_SUCCESS
chr1	11900375	11907674	+	100379251	NPPA-AS1	119	3.44787034E-1	DAVIES_SUCCESS
chr1	11905766	11907840	-	4878	NPPA	111	3.62771984E-1	DAVIES_SUCCESS
chr1	11917520	11918992	-	4879	NPPB	101	5.18012612E-1	DAVIES_SUCCESS
chr1	11979644	11986485	-	90231	KIAA2013	66	8.37491603E-1	DAVIES_SUCCESS
chr1	11994723	12035599	+	5351	PLOD1	69	8.92463522E-1	DAVIES_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	50	7.80933675E-1	DAVIES_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	34	8.1767589E-1	DAVIES_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	82	6.76352014E-1	DAVIES_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	54	5.11490668E-1	DAVIES_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	38	4.2008313E-1	DAVIES_SUCCESS
chr1	12290112	12572098	+	55187	VPS13D	106	3.61000668E-1	DAVIES_SUCCESS
chr1	12567299	12567451	+	677882	SNORA59B	40	2.12851476E-1	DAVIES_SUCCESS
chr1	12627938	12677820	-	9249	DHRS3	99	1.13537773E-1	DAVIES_SUCCESS
chr1	12704565	12727097	+	343066	AADACL4	74	3.21924148E-1	DAVIES_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	111	9.75934995E-2	DAVIES_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	100	8.07799206E-2	DAVIES_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	74	5.27130841E-2	DAVIES_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	43	5.60958201E-2	DAVIES_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	7	7.46789165E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12907235	12908237	-	649330	LOC649330	1	4.1E-1	NOT_RUN
chr1	12907260	12908578	-	343069	HNRNPCL1	1	4.1E-1	NOT_RUN
chr1	12916940	12921764	+	65122	PRAMEF2	1	4.1E-1	NOT_RUN
chr1	13516065	13747803	+	645425	PRAMEF20	26	1.98942819E-3	DAVIES_SUCCESS
chr1	13801444	13840242	-	126755	LRRC38	106	7.04291747E-9	DAVIES_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	118	9.02915742E-10	DAVIES_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	145	9.60156809E-5	DAVIES_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	452	6.15018061E-2	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	131	3.60241932E-1	DAVIES_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	220	2.70609365E-2	DAVIES_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	196	1.08565953E-3	DAVIES_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	49	9.7877738E-3	DAVIES_SUCCESS
chr1	15764937	15773153	+	11330	CTRC	55	2.61064495E-3	DAVIES_SUCCESS
chr1	15783222	15798586	+	63036	CELA2A	85	6.86682958E-3	DAVIES_SUCCESS
chr1	15802595	15817895	+	51032	CELA2B	100	6.94365268E-3	DAVIES_SUCCESS
chr1	15817323	15851285	-	842	CASP9	112	4.76885909E-3	DAVIES_SUCCESS
chr1	15853351	15918874	+	23341	DNAJC16	124	6.87785135E-3	DAVIES_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	64	6.45852838E-3	DAVIES_SUCCESS
chr1	15943952	15987552	+	84301	DDI2	70	5.71208928E-2	DAVIES_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	49	7.16318906E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	77	2.10674442E-3	DAVIES_SUCCESS
chr1	16062808	16067884	+	284723	SLC25A34	52	2.58745856E-5	DAVIES_SUCCESS
chr1	16068986	16074292	+	388595	TMEM82	49	3.57525848E-5	DAVIES_SUCCESS
chr1	16083153	16113084	+	54751	FBLIM1	67	3.23845253E-6	DAVIES_SUCCESS
chr1	16133656	16134194	-	440567	UQCRHL	41	1.95963687E-8	DAVIES_SUCCESS
chr1	16160709	16174642	-	729614	FLJ37453	44	1.41588688E-5	DAVIES_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	85	8.09574815E-6	DAVIES_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	85	3.88041811E-8	DAVIES_SUCCESS
chr1	16330730	16333184	+	149563	C1orf64	88	1.12287553E-8	DAVIES_SUCCESS
chr1	16340522	16346089	-	27129	HSPB7	91	1.22906151E-8	DAVIES_SUCCESS
chr1	16345369	16360545	+	1187	CLCNKA	92	1.51329586E-8	DAVIES_SUCCESS
chr1	16355620	16383821	+	1188	CLCNKB	89	1.33266127E-8	DAVIES_SUCCESS
chr1	16384263	16400127	-	348487	FAM131C	74	3.62030863E-8	DAVIES_SUCCESS
chr1	16450831	16482582	-	1969	EPHA2	66	7.95957663E-7	DAVIES_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	65	2.13497455E-6	DAVIES_SUCCESS
chr1	16558181	16563659	-	79363	RSG1	53	9.67466856E-5	DAVIES_SUCCESS
chr1	16576558	16678948	-	54455	FBXO42	77	1.26194196E-2	DAVIES_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	56	3.85208852E-4	DAVIES_SUCCESS
chr1	16722175	16763919	-	374955	SPATA21	65	3.13646403E-5	DAVIES_SUCCESS
chr1	16767166	16786584	+	55707	NECAP2	56	2.19673919E-6	DAVIES_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	36	3.95415225E-5	DAVIES_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	9	3.6450461E-6	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16888921	16940100	-	55672	NBPF1	4	7.06813554E-5	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17066767	17299474	+	9696	CROCC	26	5.48450174E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	17300998	17308081	-	4237	MFAP2	29	8.35997938E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	17312452	17338423	-	23400	ATP13A2	54	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	17345224	17380665	-	6390	SDHB	111	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	17393255	17445948	-	11240	PADI2	120	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	17531620	17572501	+	29943	PADI1	169	4.73023248E-5	DAVIES_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	166	4.59468197E-3	DAVIES_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	193	1.90829911E-4	DAVIES_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	133	2.48465867E-4	DAVIES_SUCCESS
chr1	17733250	17766250	-	55920	RCC2	94	3.31743739E-5	DAVIES_SUCCESS
chr1	17846826	18024370	+	55160	ARHGEF10L	159	3.10909654E-2	DAVIES_SUCCESS
chr1	18081807	18153558	+	81569	ACTL8	111	1.95184527E-1	DAVIES_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	402	7.92153782E-1	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	139	7.99208896E-2	DAVIES_SUCCESS
chr1	18957499	19075360	+	5081	PAX7	185	5.01033508E-1	DAVIES_SUCCESS
chr1	19166092	19186155	-	80834	TAS1R2	82	2.52906766E-2	DAVIES_SUCCESS
chr1	19197923	19229293	-	8659	ALDH4A1	67	4.17513649E-2	DAVIES_SUCCESS
chr1	19209695	19209769	-	100616120	MIR4695	44	2.45527851E-1	DAVIES_SUCCESS
chr1	19230773	19282826	-	126917	IFFO2	70	9.0698124E-2	DAVIES_SUCCESS
chr1	19400999	19536746	-	23352	UBR4	162	2.63036012E-3	DAVIES_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	85	2.25898307E-3	DAVIES_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	68	4.64100924E-3	DAVIES_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	67	5.72458753E-5	DAVIES_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	64	3.03645997E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	57	1.4466206E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	19629201	19638640	-	8574	AKR7A2	82	1.27453603E-13	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	19638739	19658922	+	54896	PQLC2	85	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	19665266	19812066	-	832	CAPZB	222	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	93	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	19934300	19935138	+	644068	RPS14P3	51	9.78106485E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	68	1.49045277E-8	DAVIES_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	69	9.99546204E-8	DAVIES_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	135	9.2341895E-4	DAVIES_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	78	7.71176389E-1	DAVIES_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	108	6.4685692E-1	DAVIES_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	85	5.40043095E-1	DAVIES_SUCCESS
chr1	20301923	20306932	-	5320	PLA2G2A	68	3.12403353E-1	DAVIES_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	117	5.73072512E-1	DAVIES_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	94	6.41944442E-1	DAVIES_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	71	1.16728228E-1	DAVIES_SUCCESS
chr1	20490483	20501687	-	391013	PLA2G2C	63	6.75772136E-3	DAVIES_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	69	1.52070651E-2	DAVIES_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	244	1.13676053E-3	DAVIES_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	154	1.06176425E-5	DAVIES_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	73	1.29272251E-7	DAVIES_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	82	4.09934703E-6	DAVIES_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	92	5.08002327E-8	DAVIES_SUCCESS
chr1	20915443	20945400	+	978	CDA	122	2.96511156E-8	DAVIES_SUCCESS
chr1	20959947	20978004	+	65018	PINK1	98	1.07721326E-7	DAVIES_SUCCESS
chr1	20978259	20988037	-	1650	DDOST	88	1.63950068E-8	DAVIES_SUCCESS
chr1	20990506	21044317	-	57576	KIF17	110	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
chr1	21046224	21059330	-	400745	SH2D5	67	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
